Username,Dialogue
B:,"For non-cryptic users.I recommend that you go to https://xanalia.The URL com/ is a web address that is displayed on your browser.Two.Login to your Xanalia account.Navigate to the Create option located on the side menu bar.Click on the Upload NFT five option.Please fill in the required details on the upload NFT 6.If you click the upload NFT button, your NFT will be uploaded and mint in the XANALIA Market Place Seven.It will be added to the default polygon collection."
A:,Can we sell on behalf of our corporation?
B:,"if you want to sell your stuff you need an account and you have to give the agency your informationwe can help you find a vendor, but ideally you create your own."
C:,How do I do a Xanalia stake?
A:,"stake go to farm page on xanalia.commake sure ur wallet is linked to xanalia and it has LP token, input amount u want to stake and hit stake button.we're only offering LP staking right now"
C:,Is it possible to form an equestrian business in 1x1 land?
B:,"It is possible to form an estate by combining 1x1 lands together, as long as they are adjacent to each other.I say it to you."
D:,What is XANA? How is it implemented?
C:,"XANA is a layer 2 on Ethereum, custom built for the Metaverse.It is the next gen metaverse where users can interact in virtual reality.They can create their avatars with NFTs, do business, or participate in entertainment events in XANA World."
B:,Is it possible to see More collections with respect to creator?
D:,"There is an option, More from this Collection, on the detail page of the NFT. Here the artworks of the same creator will be listed.I am unsure."
A:,Is NFT Duel Worthing?
D:,Yeah NFTs are changing the gaming industry Play to Earn is the future...NFT Duel is a TCG with GameFi P2E
D:,I'm new in NFT. What type of NFT can I use?
A:,"your able to create art,photo,gif and movie type NFT's on xanalia"
C:,Which ads are displayed on Blindbox?
B:,You can purchase Blindbox when it is set on sale in Xanalia and you have to click on the Blind Box collection displayed on the Side MenuClick on the buy button of the blind box.
A:,What is a Metaverse?
C:,"Metaverse is a next generation social platform that's based on blockchain, VR/AR, and AI, allowing users to access or createblurs the line between the physical and virtual worlds"
B:,What are some ways to create a collection?
D:,"1 1GO TO XANALIAcom in side menu 2 click on createjust click on a collection in menu 3the requisite details in the collection, page 4upload the banner and icon for your collection 5click on save buttonyour collection is successfully created6 6 6 6 6 7 6 7 7 8 8 9 7 8 9 9 10 10 9 11 11 11 11 13 13 18 18 19 17 20 21collection can be seen in my collection side menu bar 7Save your collection as a draft, it will go to my collection and you can see it there."
D:,How do I apply for NFT through Binance?
C:,
B:,Is it possible to purchase NFT Wallet with credit card?
C:,"yes, buy using credit card if you logged in as a non crypto user"
D:,What is NFT metaverse?
B:,"Linking NFTs with the Metaverse space allows users to enter a new world with the fantasy theme. A copy of the physical world but moreIn the virtual world, it is possible for people to acquire ownership of digital assets with the help of NFTs.They can trade these assets and earn revenue through these transactions.I like that one."
B:,What is game fi?
C:,"GameFi is a term used to refer to the financialization of video games.The name GameFi combines the words 'game' and 'finance' in a similar manner as the popular crypto term DeFiWe can define GameFi in a simple way, as the combination of video games and decentralized finance.Blockchain technology, which is used for this type of video game, allows players to be the sole and verified owners of the virtual elements of the game.I'm curious."
D:,What do I need to achieve XANA?
B:,XANA needs the app and the credentials to start.It sounds like it might.
B:,What is alicia?
A:,"I am referring to Alia, a bet on Binance Smart Chain, which is also a token used by the Pancake SwapIt would be interesting."
C:,Is Creating and Listing is free in XANALIA. Is
D:,"yes, creating and listing is free for non crypto user but for crypto user needs to pay little amount of gas fee"
D:,Can I use Xanalia as non-crypto signup?
C:,"The following link 'You can signup' is from the site Xanalia.You can create your own account by using the create account option. In addition, you can become a non-crypto user."
D:,Will Xanalia help me to use it for a client who has no bank account?
B:,yes xanalia supports various crypto currencies with respect to Network chain selected crypto currencies
C:,How do I buy NFT with Bitcoin?
A:,"well first of all 1)u have to connect the Wallet...click on the Wallet icon at the top right corner of xanaliaCom, go to com, go com.2)click on the desired wallet for network chain 3)go to your wallet and buy your NFTOnce you buy it it's listed under 'Owned'."
C:,What is isali?
B:,"The token ALIA, which is based on the BeP-20, was launched by Binance and was also used in the Pancake Swap"
A:,What's the integration of NFT duels with Metaverse?
C:,"Yes, there is an integration of the NFT Duels with the XANA Metaverse developed by NobPRDER.We strongly believe that this will add many advancements to the NFT gamimg.The next level of customization is to use our avatars in XANA to compete with other users or hold events or esports tournaments.I like this movie."
B:,What is creating to earn?
A:,"people who create for money get paida decentralized platform where u can create nft, mint it,and even earn money by collecting nftscreators get paid through the native tokens"
C:,"Which is better: Opensea or Xanalyst, which does it offer?"
B:,xanaliania is better cuz OOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
B:,How can I see the desired NFT list only?
A:,USE THE SEARCH BAR OPTIONS ON THE XANALIAcom for that matter
D:,How do you see the earnings if you are not an ICOs user?
C:,"For Crypto User After NFT was sold the NFT earnings will be reflected in the wallet with the respective crypto currency (BNB, MATIC,I like you."
A:,Is a digital currency network dependent?
B:,Cryptocurrencies are dependent on the Network chain.
C:,Is there a translation of a language that can support it?
B:,"xanalia english, korean, japanese, chinese, simplicized, chinese,"
A:,How do I create NFT in XANALIA?
B:,1 for non cripto users.Go to https://xanalia.comgo to com/ in your browser3 just log in in your xanalia accountjust click on create in the side menu bar 4.click on upload NFT 5.Just fill in the details required on the Upload NFT 6.click upload nft button and your nft is uploaded and minted in XANALIA Market Place 7your nft will be added to the default polygon collection
A:,Is Creating is FREE in XANALIA. Is listing is paid Is Listing is paid no ads.
B:,"yes creation and listing is free for non crypto users but for crypto users, requires a little bit of gas fee to do it"
B:,What is the NFT?
D:,"NFT stands for non-fungible token it is rare and uniqueNFT is a nonfungible token computerized digital money kinda like Bitcoin or Ethereum.Regardless, not at all like a standard coin in the Bitcoin blockchain... Nonfungible tokens are one of a kind and can't"
D:,How do I get a wallet in XANALIA?
A:,Please click on the Wallet icon located in the top right corner of the Xanalia.You can view the list of wallets. You can select the desired wallet with respect to your Network chain selected.
A:,Which is better: Open Sea or Xanalya?
D:,I think Xanalie is the better choice.
C:,How much does XANALIA charge for cryptocurrencies?
A:,"If a user wants an NFT for sale, then Xanaliea charges two for crypto users.For noncrypto users on purchase a 5% amount equals a total of two.A credit card transaction costs 5% + 5%.What is your impression of this?"
D:,What are some ways of redeeeming LP staking.?
C:,"Hi, now that we have disabled the compound, you can unstake the ALIA which you already staked and make sure that you will receive rewardsI am going to try."
C:,Where should I buy Alia?
D:,Alina is a token on the XANALIA platform. You can purchase the Alina token using PancakeSwap.comYou can download them on ly/2Zhn0Tz and QuickSwap.com.Ly/3nQ22Fd.
B:,What make XANA different from other software?
D:,"XANA is the only XANA on metaverse.. way ahead in the race when it comes to GameFi and its user friendly gives itit lets u customize the avatar of ur favorite IP, no other metaverse has"
B:,Is it possible to view more collections with respect to creator with respect to creator?
C:,"I agree, when viewing the Detail page of the NFT, you will find the option "" More from this Collection"" there will be listed the artworksYou might like it."
D:,What games would you recommend for Play to Earn in 2022?
B:,"For the best trading card games to start playing right now, get your hands on NFT Duel, one of the best trading card games of 2022A NFT Card Game with Blockchain Based NFTs Trading cardsNFT Duel... it is one of the most popular games out there, giving you real ownership of your cards and open trading.Interesting trading card game, has some hot IPs and can let players own the digital assets and pay in for it"
C:,How do I create to earn?
A:,People can earn money by creating contentin a decentralized platform users can create content mint their NFT and let others earn money by collecting NFTsthe creators make money in the native tokens of the platform.I was wondering...
B:,What's the best way to track the activities on XANALIA?
D:,"Activity You can easily look through every activity you do on XANALIA in this tabon the activity page you can see all info for any NFT listing, transaction, NFT trading."
B:,What is ALIA really?
A:,ALIA was launched on Binance's Smart Chain and used in the Pancake Swap ecosystem.
C:,What is an NFT?
A:,"NFT stands for nonfungible token. It is rare and unique.NFT is an electronic form of token. It is similar to Bitcoin or Ethereum in that it is a digital currency.In any case, unlike a standard coin in the Bitcoin blockchain, nonfungible tokens are unique, cannot be traded like-forlike and becomeI'd say 'yes.'"
C:,What is XANALIA charging for crypto users?
D:,"for crypto users 2 xantaliana charges when user puts NFT for sale5% for noncrypto users on purchase = 25%, + 5%credit card chargesyou have to think about that"
B:,How can I resale NFT?
C:,"You can buy your NFT using your wallet if you are a Crypto user.It will be listed on the Owned tab after purchasing.If you wish to sell NFT, click on the Owned tab, then select the Cryptocurrency from the Pay In option, then theIt will be listed on the [Owned] tab after purchase.Select the option called Payment by Pay in option and a selling method and then put your NFT on sale at the Owned tab."
B:,How can I see desired list only of NFT?
D:,You can use the search bar options on the Xanalia.Go to com.
D:,What do you know about XANA?
B:,"XANA is an Ethereum Layer 2, custom built for the metaverse.It is the next generation metaverse, where users can interact in virtual reality.Create an avatar using NFTs. They can do business or participate in entertainment events in XANA World."
B:,Is it possible to form an equitation with a real estate?
D:,"Yes, estates can be formed by combining one lot together, as long as the are adjacent to each other."
A:,What is a Blind Box in XANALIA?
C:,basically blind box about unveiling rare NFT collectiblesbox of random NFT from a specific collection of NFT'sMonkey King and Underground City collectibles in Xanalia
D:,How do I set an auction method in Xanalia.jar?
C:,"The account number is a User 1.Visit the website Xanalia.com.You can find the address in your browser, com/.I would suggest that two things occur.Connect your desired wallet.Using the side menu bar, click on the Create option.I recommend clicking on the Upload NFT 5 button.On entering the details in the Upload NFT section, the Tab represents the Selling Method wherein you must choose the Auction Method 6.Fill in the details (open time, closing time, bid start amount), and then click on the upload buttonI am counting 7.It appears that your NFT will now be sold through the auction method.For Non Crypto Users, auction selling method is not an option."
B:,How is NFT and the Metaverse connected?
A:,"NFTs allow you to be in possession of real assets in the digital world.If you do not have NFTs, virtual assets will not have any value in the real world.Please help me determine."
D:,How do you find a farm in XANALIA?
C:,You need to connect the wallet with the network chain to view Farm in the side menu bar.
C:,How to set royalty percentage on currency?
D:,"During the creation of the NFT, you will find options for royalty.You are able to select the desired royalty percentage.I like it."
A:,What are XANALIA wallets and how much does it charge for crypto in India?
D:,when a user puts an NFT for sale then xanalya charges for crypto users = 25% for noncrypto users on purchase = 25% and 5% credit card charges
B:,What is a blind box of Xanalian cinema?
C:,"Essentially, Blind Box is about unveiling rare NFT collectibles.The box contains a random NFT from a particular NFT collection.I don't like it.We have unveiled Monkey King, and UnderGround City collectibles in Xanalia."
C:,How do I write the NFT account?
B:,"You can create NFT's for art, photo, graphics, and movies on xanalia.It could be said that way."
A:,How do I apply for NFT to Binance?
C:,NFT to Binance NFT XXXXXXX BUT XANALIA OOOOOOOOOOOOOOOOOO
B:,How do I set royalty percentage on NFT?
D:,"While creating the NFT, you will find the options Royalty.You may choose the desired royalty percentage.I think it is."
B:,How to buy NFT without crypto users?
C:,"The first step is to connect the Wallet by clicking on the Wallet icon in the top right corner of the Xana.2)click on the desired wallet according to the Network chain, and 3) you can use your wallet to purchase your NFT.After you purchase it, it will appear on the [Owned] tab."
C:,How can I find a good game for Play to Earn?
D:,"try NFT Duel, the best new NFT game out there.Now NFT duel players can own #NFT Trading cards of unique characters to fight against other players in the #MetaverseNFT Duel is becoming one of the most popular game genres in the world... its gives players real ownership of the cards themselves...and allows tradehttps://discord.com for more info"
C:,What is the Metaverse of NFT?
D:,"Connecting NFTs with the metaverse gives users a whole new way, somewhat the fantasy part, a copy of the physical, butnfts allow people to get their own digital rights, in the virtual worldthey trade them and do stuff like this and make cash"
A:,Why is XANA so good?
D:,"XANA allows creators to bring their digital assets to the metaverse.In the digital space where you have your digital assets, NFTs, you can create a world of your own in digital space.Because of its advanced technology, XANA is preferred by institutions for game wifi and P2E.I am curious what your thoughts are"
D:,What makes NFT Duel so special?
A:,"Play to earn has already brought in lots of buzz, people are putting NFTs in games monetizing the games.since NFT's exploded in game value and they can be sold for more...the traditional games aren't quite this great.So the idea behind NFT Duel P2E game is offering users enough value in-game to keep them playing as long as possible."
A:,How do I purchase on blindbox?
B:,"When Blindbox is set on sale in Xanalia, you can purchase it.Click on the purchase button in the blind box.It seems that way."
B:,What is playing to earn?
D:,The latest business model in the gaming industry is P2E.There is an emerging market in the metaverse where players monetize the time they spend playing a video game.The open economy will give the player opportunities to earn money and add value to the gaming world as well.I am interested in this occurrence.
D:,Where can I find all of the NFT trading cards featured on NFT Duel?
C:,NFT trading cards featured in the NFT Duels will be available at the XANALIA NFT marketplace.NFT cards can be purchased and traded on XANALIA and OpenSea.
C:,How can I set royalties percentage on my NFT?
B:,"In Creating the NFT, you will find an option Royalty.you can choose the royalty percentage you want"
D:,How do you view details?
B:,"You can do it by clicking the thumbnai of any NFT on the xanalia.You can see the first glimpse of the NFT in the popup window, which reveals the View Details button that will bring you to the Detail pageI do not know."
A:,Is NFT and Metaverse fully connected?
B:,"NFTs are an integral part of the metaverse as they allow you to own actual assets in the digital world.Without NFTs, virtual assets will have no value in the real world.Is it true?"
C:,How can I find farms in XANALIA?
B:,"In order to view Farm on the menu bar, you must connect your wallet to the broadband chain."
D:,Which is better Axie Infinity or NFTDUEL?
A:,"I cannot say which game is better, but NFT Duel looks promising.It will be a trading card game with some popular IPs. It will allow players to own digital assets and earn revenue through them.I am unsure."
B:,Is there any option to sell for company?
C:,"If you want to sell products for other people, you will need an account and will need to share your personal information with the agency.We can recommend vendors in this case however we would have you create your own.I would say that."
C:,How can i withdraw alia for a non match application?
A:,"Alaia is withdrawable only to non crypto users.Number oneNoncrypto user is required to login in XANALIA account.View the Withdraw options on the side bar menu or the profile page 3.If you click on the Withdraw Tab, you will be able to perform withdrawal accordingly."
D:,Are cryptocurrencies tether dependent?
B:,Cryptocurrencies are dependent upon network chains.
A:,How do I find good play to earn game?
D:,"Check out NFT Duels, the best new NFT game out thereNFT Duel Players now CAN HAVE NFT Trading Cards of Unique Characters To Fight Other players in the #MetaverseNFT Duel is going global. It gives users the cards, they're in ownership and they can trade freely worldwide.For more info visit discord"
C:,How is metaverse and NFT different?
D:,NFTs are a very important part of the Metaverse because they allow you to own actual assets in the digital world.Virtual assets will not have any value in the real world unless they are NFTs.
A:,How profitable is Metaverse?
C:,"New technologies are showing promise...as consumers get more interested in it,the money goes uphave already spent over 400 million dollars, and this year more big names will invest in technologyright now metaverse is a good bet and it will get better as more integrated hardware and software are coming on the market"
A:,Which card is compatible with XANALIA?
B:,"Metamask, Binance Chain Wallet, and many mobile wallets are compatible with the XANALIA marketplace.I am referring to that."
D:,Is it possible to view more collections with respect to creators?
C:,If you click on the detail page of the NFT there will be an option titled More from this collection and you will find the artworks of the
C:,Is Metaverse profitable?
B:,"new technology is showing potential and when the interest of the consumers goes up the revenue stream comes up exponentiallymore than 400 million dollars have been spent already.. so this year more big names are looking to invest in the tech.metaverse has good prospects right now... as integrated hardware and software get in the market, the market will pay for that."
D:,How to create an NFT in XANALIA for crypto user with my old wallet?
C:,"for crypto usher 1Go to https://xanalia.comgo to com/ on your browser.2 i mean 2 i mean 2.connect the wallet you're looking for to the network chain, 3...right click, 'create' option in side menubar 4well if u want to create ur own collection just create the collection first and upload or default collection will be selected.click on Upload NFT 6fill in the details required on the Upload NFT 7Click on upload NFT to get your NFT to be uploaded to XANALIA Market place"
C:,How do I buy NFT as a Crypto account?
D:,"1 connect the wallet click on the wallet icon top right corner of the xanalia2)click on the wallet, if the network chain is ok, 3)you can use your wallet to buy your NFTOnce you purchase it, it will show up on the tab of owned"
D:,How can I find farm in XANALIA?
A:,go to menubar farm or something in that side menu but connect your wallet with binance chain
D:,What is the XANALIA?
C:,"XANALIA a multichain NFT marketplace based on Binance, Ethereum, and Polygon AR VR generationAR VR integration so NFT collectors can interact with NFT's like never beforeIt has a lot of useful features to help traders and user create and invest in NFTs.Trade it on our NFT & digital arts platform.their nfts have the right to copyright protection.nope and that means nope nope, nope, nope, nope..."
A:,Is a single stake in the ALIA Stakes available?
B:,we are making plans to drop NFT to holders of ALIA Single stakingSooner AALIA Single Stakes will get NFT drop instead of ALIA
C:,How can I purchase in BlindBox?
B:,"When Blindbox is set on sale in Xanalia, you can purchase it by clicking on the Blindbox collection in the side menu bar.If you are clicking on it, you should click on the buy button on the blind box."
A:,What makes XANA unique from other games?
D:,"XANA is exclusive to Metaverse, it is ahead of GameFi, and its user friendly features gives it widespread adoption.You can adorn an avatar of your favorite IP address, which no other metaverse offers.The answer is 'Yes.'"
B:,What makes XANA different?
C:,"XANA is the only XANA on metaverse, it is way ahead on GameFi and its user friendly makes it widely usedIt gives you the option to decorate your favorite IP avatar... not on any other metaverse"
B:,How do I sell my business directly?
C:,"You need an account, you must share your info with the agency if you want them to sell your stuffIf this is possible we can take you to a vendor but best is if you create your own"
C:,How do I see NFT at home through my xanalia?
D:,go to the nft detail page and see the digital ownership change at the top of that page.
B:,What is the NFT metaverse and what is it about?
D:,"combining NFTs with metaverse allows users to enter a new world, with the fantasy theme, a copy of the physical world but morein the virtual world people can get ownership of digital assets with NFTsthey can trade things and get money from it"
A:,What exactly is XANA?
D:,"XANA is an Ethereum layer 2, that was customized for the metaverse.It is the next generation metaverse where users can interact in virtual reality.They could create their avatars by using NFT, do business, or participate in entertainment events on XANA world.I am not sure."
A:,What does farm on xanalia mean?
C:,"click on the [Farm] link at the side of the menubarFrom the farm pages of xanalia you can stake, un stake, harvest, LP"
D:,How do I add an alici token in any wallet?
B:,ALIA tokens in the XANALIA will get reflected in your wallet once you import their token address.
A:,Selling methods in XANALIA: An introduction.
C:,We have two types of selling. 1.fixed price nft2 fixed price users can get their nft on saleAuction... user can put their NFT on sale..users can bid for his NFT.
A:,How do I sell NFT to a non Crypto user and for small business purposes?
B:,"if you aren't a crypto user, then you can purchase with your credit cardAnd after you've purchased it, it'll be listed on the [Owned] tabjust click the nft to be sold from the owned tab and select the payment method i.e. pay in and the selling method."
B:,How do I create a wallet in XANALIA?
A:,Just click on the Wallet icon in the top right corner of the Xanalia tab.You can view the list of wallets and select the desired wallet according to your selected network chain.
A:,How do I get started with XANA?
C:,"To start XANA, you must download the app and obtain credentials.I don't like it."
C:,Will alia single stake be available in future?
B:,we are reportedly developing an NFT drop to holders with ALIA Single staking.after that ALIA single stakes will get the reward as NFT drop instead of ALIA.
A:,What is the Metaverse?
C:,"Metaverse, the next gen social platform based on Blockchain, VR AR, and AI, allows users to access or create an open world to dothe 'blended' line between the physical world and the virtual world..."
A:,What is the Metaverse?
C:,"Metaverse is a new social platform that is based on blockchain technology, VR, AR, and AI.It blurs the line between the physical and the virtual world.I don't know."
D:,How many languages are supported on Linux?
A:,"Xanalia is available in English, Korean, Japanese, Chinese (traditrion), and simplified Chinese.I think it is."
C:,How do I insert Alia token into a wallet?
A:,We need to import the ALIA token address into your wallet. ALIA will get reflected in your wallet.
D:,How do I view More collections?
C:,yes you can when you click on detail on the NFT it will say more from this collection and the artist listed will come up there
D:,Is Xanalia accepting Mobile payments?
B:,yes...xanalia support all mobile walletsg metamask wallet trust wallet houbi wallet token pocket ect
C:,What is DUEl NFT like?
D:,"Play To Earn has predictably created a lot of buzz and NFTs in games, allowing users to monetize.Since NFT's have increased ingame value and can be sold at a higher price, and the traditional gaming is far from this concept.The principle behind the game NFT Duel is to offer users enough value ingame to keep them playing for as long as possible."
B:,What exactly is royalty?
A:,"Royalties are money that we gave to many of our creators for life.You can set royalty in Xanalia, while creating the NFT."
A:,What is NFT Games?
D:,"Gaming is believed to be one area where NFT's can act as a driving force.NFT Games allow content developers to monetize their creations and allow players to earn cryptocurrency by interacting with NFTs.NFTs in gaming are used to create characters, avatars, and items for players to collect to assist their gameplay and trade with other players.That is a good question."
A:,How much XANALIA charges for crypto users?
B:,when a user sells a nft xanalia charges...for crypto users = 25% non-crypto users on purchase 25 ppl plus credit card chargesI think so
D:,Is there really any currency support for XANALIS.COM/XANALIS 1.0.0? And what is the reason I want it?
B:,Xanalia supports both crypto users and non crypto users.What is your opinion?
A:,How can you make a farm xanalia?
B:,"it's down there in side menu bar click on 'farm'u can stake, un stake and harvest LP from xanalia farm page"
C:,Is it possible to view More collection with respect to creator?
A:,You can go to the NFt Detail and click More from this collection and you will find that same creators artworks
D:,Is listing and Creating is free. In XANALIA xAXALIA is based on the free Web site.
A:,"The cost for creating and listing is free for noncrypto users, however, a small amount of gas fee is required for crypto users.Inquire into it."
A:,Is it possible to view More collections in relation to creator?
C:,When viewing the detail page of the NFT you will find an option that lists artworks by the same creator.I am not sure.
D:,How can I track my actions in XANALIA?
A:,Activity You can easily check off everything running on xania from the 'activity' tab.every NFT listing and NFT transaction and NFT trading is up to date on the activity page
D:,Are there any integrations between Metaverse and NFT Duel?
A:,"Yes, there is an integration of NFT Dule with the XANA Metaverse (developed by NOBPRDER).I believe it is Z.We strongly believe that this will add many advancements to the NFTgamimg.In the near future we could compete with other users by playing with our avatars in XANA and holding events and tournaments.How would you describe it?"
D:,Which is the best selling method in XANALIA?
B:,There are two types of selling method.Fixed Price. A user can put their NFT on sale by setting a fixed price for their NFT 2.Auction allows a user to sell their NFT. Allows the user to bid for his NFT
A:,What are your expectations for XANA?
D:,"XANA will provide the ultimate metaverse experience because it allows the users to enjoy the metaverse in the avatar of their favorite IP.XANA is way ahead of its competitors and built with cutting edge technology.In the world of XANA, only imagination can help you with businesses, meetings, or entertainment events.That is strange."
C:,What do I need to learn XANA?
B:,"xana, u need the app and credentials to start"
D:,When can you sell on behalf of a company?
C:,"If you would like to sell your products on behalf of others, you will need an account and you will need to share your personal information with the agency.If this is possible, we can introduce you to a vendor, but ideally, you would create your ownI would like to know."
A:,How do I add an ALIA token to my wallet?
C:,"To view the Alia tokens in XANALIA, we need to import ALIA token address in your wallet."
D:,How do I set the auction method in Xanalia?
A:,"for crypto user 1go to https://xanalia.comgo to com/ on your preferred browser?connect your desired wallet 3go to the side menubar and click on 'create'.Just click on Upload NFT 5then in upload nft u get a tab'selling method' you have to choose auction method 6.Just type in all the details you want to edit open time close time bid start amount and click Upload NFT7 of themNow, the price of your NFT is off via auction...We don't offer Auction Selling Method option for non crypt users"
A:,What exactly are royalty?
C:,royalty is the payment we gave out for one of the good creators and that is Lifetimein XANALIA u can set ur own royalty while creating the NFT
C:,How do I see my NFT's on xanalia?
B:,"If you are a crypto user, he will be able to view the purchased NFTS on the Owned tab after connecting the wallet"
C:,What are play earned?
D:,DeFi gaming is very successful with the new phrase 'play to earn'.It allows users to farm or collect crypto and NFTs while playing that can be sold on the market.There are financial benefits for players who embrace the concept of the open economy such as earning additional items or tokens for sale and generating income.It seems you will.
A:,Why is the Axie Infinity more reliable than NFTDUEL?
B:,"It is hard to choose one that is better NFT game, but NFT duel seems promising.The game is a trading card game, it will feature popular IPs and allow players to own digital assets and earn revenue from those assets.I love them."
D:,Why is XANA important?
B:,"XANA is an opportunity for creators to bring their digital assets to the metaverseCreate a world of your own in digital space in digital space where you have your digital assets like NFTsGameFi, P2E and now with the advanced technology, XANA is preferredIf your into things, you just may have the right person."
C:,How do I start XANA?
B:,xana you need to have the app and credentials to start
B:,What are some good projects for GameFi 2022?
A:,"GameFi projects have tokens that players buy or earn in game, facilitating their performance within the game, or they can be traded on open marketplacesBut with tons of new NFT games coming out every day it's hard to pick the best NFT gamesOK, we bring the best GameFi project NFT Duel in 2022.blockchain trading card game..ingame characters that have different powers, unlimited options to build a team and battle out with other players"
C:,How do I see my NFT on xanalia?
B:,
C:,Does Activity shows all activities of all users of all users.
B:,"In XANALIA, the activity options show the actions carried out by all users."
B:,How do I create an NFT in XANALIA for crypto user?
D:,"natto, the for crypto userser 1Go to https://xanalia.comcom on your browser2 I got 2...Connect your preferred wallet to the Network chain selected 3go to side menu and click create.If you like your own collection, you have to create the Collection first and then you can upload or you can choose default collection for network chain 5.click on upload nft 6Just go to the Upload NFT 7 page and fill in the info.click on the upload NFT button u can upload ur NFT in the XANALIA market place and it will be minted"
C:,Where do I sign up for xanalia password?
A:,follow this link xanalia.com and sign up hereyou can go to com user authentication and create ur own account then click create ur account and then become a non crypto user
C:,"How can I view my NFT's on Xanalia, I am using a cloud data connection from a different website?"
A:,
